r23_idx,cpu_idx,similarity,r23_name,cpu_name
1,4,82,Threadripper Pro 3995WX,AMD Ryzen Threadripper PRO 3995WX
2,20,83,Epyc 7702P,AMD EPYC 7702P
4,18,82,Threadripper Pro 3975WX,AMD Ryzen Threadripper PRO 3975WX
7,39,87,Ryzen 9 5950X,AMD Ryzen 9 5950X
8,54,82,Core i9 12900K,Intel Core i9-12900K
9,53,83,Core i9 12900KF,Intel Core i9-12900KF
10,44,83,Core i9 12900KS,Intel Core i9-12900KS
11,61,82,Threadripper Pro 3955WX,AMD Ryzen Threadripper PRO 3955WX
12,96,82,Core i9 9980XE,Intel Core i9-9980XE @ 3.00GHz
13,64,87,Ryzen 9 3950X,AMD Ryzen 9 3950X
14,85,83,Core i9 10980XE,Intel Core i9-10980XE @ 3.00GHz
15,80,82,Core i7 12700K,Intel Core i7-12700K
16,81,83,Core i7 12700KF,Intel Core i7-12700KF
17,63,87,Ryzen 9 5900X,AMD Ryzen 9 5900X
19,79,86,Ryzen 9 5900,AMD Ryzen 9 5900
22,89,87,Ryzen 9 3900X,AMD Ryzen 9 3900X
23,88,88,Ryzen 9 3900XT,AMD Ryzen 9 3900XT
24,116,82,Core i9 7980XE,Intel Core i9-7980XE @ 2.60GHz
25,110,83,Core i9 12900HK,Intel Core i9-12900HK
26,104,81,Core i9 9960X,Intel Core i9-9960X @ 3.10GHz
27,139,83,Core i5 12600KF,Intel Core i5-12600KF
28,195,83,Core i9 10900KF,Intel Core i9-10900KF @ 3.70GHz
29,134,82,Core i5 12600K,Intel Core i5-12600K
30,135,82,Core i7 12700H,Intel Core i7-12700H
31,117,82,Core i9 12900H,Intel Core i9-12900H
32,123,82,Core i9 10940X,Intel Core i9-10940X @ 3.30GHz
33,164,83,Core i9 11900KF,Intel Core i9-11900KF @ 3.50GHz
34,98,81,Core i7 12700,Intel Core i7-12700
35,158,82,Core i9 11900K,Intel Core i9-11900K @ 3.50GHz
36,308,82,Core i7 12800H,Intel Core i7-12800H
37,208,82,Core i9 10850K,Intel Core i9-10850K @ 3.60GHz
38,143,82,Core i9 10920X,Intel Core i9-10920X @ 3.50GHz
39,125,81,Core i9 9940X,Intel Core i9-9940X @ 3.30GHz
40,187,82,Core i9 10900K,Intel Core i9-10900K @ 3.70GHz
41,142,81,Core i9 7960X,Intel Core i9-7960X @ 2.80GHz
42,182,83,Core i7 11700KF,Intel Core i7-11700KF @ 3.60GHz
43,173,82,Core i7 11700K,Intel Core i7-11700K @ 3.60GHz
44,160,88,Ryzen 7 5800X3D,AMD Ryzen 7 5800X3D
46,165,81,Core i9 9920X,Intel Core i9-9920X @ 3.50GHz
47,179,81,Ryzen 9 6980HS,AMD Ryzen 9 6900HS
48,199,81,Ryzen 9 6980HX,AMD Ryzen 9 5980HX
49,192,82,Core i5 12500H,Intel Core i5-12500H
50,126,87,Ryzen 7 5800X,AMD Ryzen 7 5800X
51,179,81,Ryzen 9 6900HX,AMD Ryzen 9 6900HS
52,218,82,Core i9 10900X,Intel Core i9-10900X @ 3.70GHz
53,140,87,Ryzen 7 5700X,AMD Ryzen 7 5700X
54,176,87,Ryzen 7 5700G,AMD Ryzen 7 5700G
55,157,86,Ryzen 7 5800,AMD Ryzen 7 5800
56,236,81,Core i9 9900X,Intel Core i9-9900X @ 3.50GHz
57,188,83,Core i9 11980HK,Intel Core i9-11980HK @ 2.60GHz
58,201,87,Ryzen 7 3800X,AMD Ryzen 7 3800X
59,368,81,Core i7 7820X,Intel Core i7-7820X @ 3.60GHz
60,207,81,Core i9 11900,Intel Core i9-11900 @ 2.50GHz
61,272,81,Core i9 10900,Intel Core i9-10900 @ 2.80GHz
62,337,81,Core i7 9800X,Intel Core i7-9800X @ 3.80GHz
63,197,87,Ryzen 7 6800H,AMD Ryzen 7 6800H
64,186,82,Core i9 11900F,Intel Core i9-11900F @ 2.50GHz
65,277,81,Core i5 12500,Intel Core i5-12500
66,268,89,Ryzen 7 Pro 4750G,AMD Ryzen 7 PRO 4750G
67,179,88,Ryzen 9 6900HS,AMD Ryzen 9 6900HS
68,257,87,Ryzen 9 5900H,AMD Ryzen 9 5900H
69,324,82,Core i9 9900KF,Intel Core i9-9900KF @ 3.60GHz
70,185,88,Ryzen 7 3800XT,AMD Ryzen 7 3800XT
71,205,88,Ryzen 9 5900HX,AMD Ryzen 9 5900HX
72,295,82,Core i9 9900KS,Intel Core i9-9900KS @ 4.00GHz
73,302,82,Core i7 10700K,Intel Core i7-10700K @ 3.80GHz
74,306,83,Core i7 10700KF,Intel Core i7-10700KF @ 3.80GHz
75,219,82,Core i9 11950H,Intel Core i9-11950H @ 2.60GHz
76,244,88,Ryzen 9 5980HS,AMD Ryzen 9 5980HS
77,228,88,Ryzen 9 5900HS,AMD Ryzen 9 5900HS
78,279,87,Ryzen 7 4700G,AMD Ryzen 7 4700G
79,428,82,Core i9 10900T,Intel Core i9-10900T @ 1.90GHz
80,162,88,Ryzen 7 6800HS,AMD Ryzen 7 6800HS
81,323,81,Core i9 9900K,Intel Core i9-9900K @ 3.60GHz
83,252,82,Core i7 11850H,Intel Core i7-11850H @ 2.50GHz
84,377,82,Core i7 10700F,Intel Core i7-10700F @ 2.90GHz
85,247,82,Core i7 11800H,Intel Core i7-11800H @ 2.30GHz
86,381,80,Core i9 9900,Intel Core i9-9900 @ 3.10GHz
87,242,87,Ryzen 7 5800H,AMD Ryzen 7 5800H
89,245,82,Core i9 11900H,Intel Core i9-11900H @ 2.50GHz
90,197,80,Ryzen 7 6800Uâ€‹,AMD Ryzen 7 6800H
91,216,87,Ryzen 7 3700X,AMD Ryzen 7 3700X
92,292,81,Core i5 12400,Intel Core i5-12400
93,291,82,Core i5 12400F,Intel Core i5-12400F
94,199,88,Ryzen 9 5980HX,AMD Ryzen 9 5980HX
95,249,81,Core i9 7900X,Intel Core i9-7900X @ 3.30GHz
96,274,88,Ryzen 7 4700GE,AMD Ryzen 7 4700GE
97,301,87,Ryzen 9 4900H,AMD Ryzen 9 4900H
98,290,83,Core i5 11600KF,Intel Core i5-11600KF @ 3.90GHz
99,248,86,Ryzen 5 5600,AMD Ryzen 5 5600
100,289,82,Core i5 11600K,Intel Core i5-11600K @ 3.90GHz
101,285,87,Ryzen 5 5600G,AMD Ryzen 5 5600G
102,307,87,Ryzen 7 4800H,AMD Ryzen 7 4800H
103,332,81,Core i5 11600,Intel Core i5-11600 @ 2.80GHz
104,231,87,Ryzen 5 5600X,AMD Ryzen 5 5600X
105,243,82,Core i7 11700F,Intel Core i7-11700F @ 2.50GHz
106,298,88,Ryzen 9 4900HS,AMD Ryzen 9 4900HS
107,259,82,Core i9 10900F,Intel Core i9-10900F @ 2.80GHz
108,389,82,Core i7 11600H,Intel Core i7-11600H @ 2.90GHz
109,283,86,Ryzen 5 5500,AMD Ryzen 5 5500
110,393,83,Core i9 10980HK,Intel Core i9-10980HK @ 2.40GHz
111,314,88,Ryzen 7 4800HS,AMD Ryzen 7 4800HS
112,264,88,Ryzen 7 5800HS,AMD Ryzen 7 5800HS
113,459,82,Core i5 10600K,Intel Core i5-10600K @ 4.10GHz
114,455,83,Core i5 10600KF,Intel Core i5-10600KF @ 4.10GHz
115,457,81,Core i7 8086K,Intel Core i7-8086K @ 4.00GHz
116,485,81,Core i9 9900T,Intel Core i9-9900T @ 2.10GHz
117,518,82,Core i7 10700T,Intel Core i7-10700T @ 2.00GHz
118,370,82,Core i5 11400F,Intel Core i5-11400F @ 2.60GHz
119,359,87,Ryzen 7 2700X,AMD Ryzen 7 2700X
120,371,87,Ryzen 5 5600H,AMD Ryzen 5 5600H
121,533,81,Core i7 5960X,Intel Core i7-5960X @ 3.00GHz
122,328,90,Ryzen 7 Pro 4750GE,AMD Ryzen 7 PRO 4750GE
123,435,82,Core i7 10870H,Intel Core i7-10870H @ 2.20GHz
124,357,81,Core i5 11500,Intel Core i5-11500 @ 2.70GHz
125,320,88,Ryzen 5 3600XT,AMD Ryzen 5 3600XT
126,372,81,Core i7 6950X,Intel Core i7-6950X @ 3.00GHz
127,374,87,Ryzen 7 4800U,AMD Ryzen 7 4800U
128,255,81,Core i7 1270P,Intel Core i7-1270P
129,385,82,Core i5 11500H,Intel Core i5-11500H @ 2.90GHz
130,373,81,Core i5 11400,Intel Core i5-11400 @ 2.60GHz
131,456,81,Core i7 9700K,Intel Core i7-9700K @ 3.60GHz
132,406,82,Core i9 10885H,Intel Core i9-10885H @ 2.40GHz
133,334,87,Ryzen 5 3600X,AMD Ryzen 5 3600X
134,397,82,Core i5 11400H,Intel Core i5-11400H @ 2.70GHz
135,409,87,Ryzen 5 4600G,AMD Ryzen 5 4600G
136,391,87,Ryzen 7 1800X,AMD Ryzen 7 1800X
137,267,81,Core i7 11700,Intel Core i7-11700 @ 2.50GHz
138,388,89,Ryzen 5 Pro 4650G,AMD Ryzen 5 PRO 4650G
139,461,82,Core i7 9700KF,Intel Core i7-9700KF @ 3.60GHz
140,486,81,Core i5 10600,Intel Core i5-10600 @ 3.30GHz
141,349,86,Ryzen 5 3600,AMD Ryzen 5 3600
142,396,87,Ryzen 7 5700U,AMD Ryzen 7 5700U
143,419,82,Core i5 11260H,Intel Core i5-11260H @ 2.60GHz
144,447,88,Ryzen 5 4600HS,AMD Ryzen 5 4600HS
145,408,86,Ryzen 7 2700,AMD Ryzen 7 2700
146,489,81,Core i7 8700K,Intel Core i7-8700K @ 3.70GHz
148,415,82,Core i7 10875H,Intel Core i7-10875H @ 2.30GHz
149,413,87,Ryzen 7 1700X,AMD Ryzen 7 1700X
150,482,81,Core i9 9880H,Intel Core i9-9880H @ 2.30GHz
151,358,89,Ryzen 7 Pro 5850U,AMD Ryzen 7 PRO 5850U
152,379,81,Core i7 10700,Intel Core i7-10700 @ 2.90GHz
153,504,80,Core i7 9700,Intel Core i7-9700 @ 3.00GHz
154,502,81,Core i7 9700F,Intel Core i7-9700F @ 3.00GHz
155,398,81,Core i7 1260P,Intel Core i7-1260P
156,517,87,Ryzen 3 5300G,AMD Ryzen 3 5300G
157,449,82,Core i9 9980HK,Intel Core i9-9980HK @ 2.40GHz
158,462,82,Core i3 12100F,Intel Core i3-12100F
159,521,81,Core i5 10500,Intel Core i5-10500 @ 3.10GHz
160,460,81,Core i3 12100,Intel Core i3-12100
161,503,87,Ryzen 5 4600U,AMD Ryzen 5 4600U
162,452,87,Ryzen 7 2700E,AMD Ryzen 7 2700E
163,316,87,Ryzen 7 5800U,AMD Ryzen 7 5800U
164,453,86,Ryzen 7 1700,AMD Ryzen 7 1700
165,425,80,Ryzen 5 6600U,AMD Ryzen 5 5600U
166,448,87,Ryzen 5 4600H,AMD Ryzen 5 4600H
167,580,82,Core i5 10600T,Intel Core i5-10600T @ 2.40GHz
169,537,82,Core i5 10400F,Intel Core i5-10400F @ 2.90GHz
170,425,87,Ryzen 5 5600U,AMD Ryzen 5 5600U
171,545,81,Core i5 10400,Intel Core i5-10400 @ 2.90GHz
172,635,82,Core i5 10500T,Intel Core i5-10500T @ 2.30GHz
173,480,87,Ryzen 5 2600X,AMD Ryzen 5 2600X
174,553,82,Core i7 10850H,Intel Core i7-10850H @ 2.70GHz
175,495,87,Ryzen 7 4700U,AMD Ryzen 7 4700U
176,528,81,Core i7 7800X,Intel Core i7-7800X @ 3.50GHz
177,586,81,Core i7 6850K,Intel Core i7-6850K @ 3.60GHz
178,609,82,Core i5 9600KF,Intel Core i5-9600KF @ 3.70GHz
179,542,82,Core i7 10750H,Intel Core i7-10750H @ 2.60GHz
180,418,89,Ryzen 5 Pro 5650U,AMD Ryzen 5 PRO 5650U
181,512,86,Ryzen 5 2600,AMD Ryzen 5 2600
182,513,87,Ryzen 5 5500U,AMD Ryzen 5 5500U
183,522,80,Core i7 8700,Intel Core i7-8700 @ 3.20GHz
184,576,81,Core i7 9850H,Intel Core i7-9850H @ 2.60GHz
185,613,82,Core i9 8950HK,Intel Core i9-8950HK @ 2.90GHz
186,589,81,Core i7 9750H,Intel Core i7-9750H @ 2.60GHz
187,655,82,Core i5 10400T,Intel Core i5-10400T @ 2.00GHz
188,572,82,Core i5 10500H,Intel Core i5-10500H @ 2.50GHz
189,619,81,Core i7 6800K,Intel Core i7-6800K @ 3.40GHz
190,532,87,Ryzen 3 3300X,AMD Ryzen 3 3300X
191,647,81,Core i5 8600K,Intel Core i5-8600K @ 3.60GHz
192,540,82,Core i7 11375H,Intel Core i7-11375H @ 3.30GHz
193,614,81,Core i5 9600K,Intel Core i5-9600K @ 3.70GHz
194,526,87,Ryzen 5 1600X,AMD Ryzen 5 1600X
195,651,81,Core i3 10320,Intel Core i3-10320 @ 3.80GHz
196,605,82,Core i7 11390H,Intel Core i7-11390H @ 3.40GHz
197,684,81,Core i5 9400F,Intel Core i5-9400F @ 2.90GHz
198,546,86,Ryzen 5 1600,AMD Ryzen 5 1600
199,620,82,Core i7 1165G7,Intel Core i7-1165G7 @ 2.80GHz
200,611,89,Ryzen 3 Pro 4350G,AMD Ryzen 3 PRO 4350G
201,674,80,Core i5 9500,Intel Core i5-9500 @ 3.00GHz
202,699,81,Core i3 10300,Intel Core i3-10300 @ 3.70GHz
203,599,82,Core i7 1195G7,Intel Core i7-1195G7 @ 2.90GHz
204,654,81,Core i7 8750H,Intel Core i7-8750H @ 2.20GHz
205,618,82,Core i5 11320H,Intel Core i5-11320H @ 3.20GHz
206,650,82,Core i7 10710U,Intel Core i7-10710U @ 1.10GHz
207,705,80,Core i5 8400,Intel Core i5-8400 @ 2.80GHz
208,678,81,Core i7 7700K,Intel Core i7-7700K @ 4.20GHz
209,596,87,Ryzen 5 4500U,AMD Ryzen 5 4500U
210,584,88,Ryzen 3 4300GE,AMD Ryzen 3 4300GE
211,600,82,Core i7 1185G7,Intel Core i7-1185G7 @ 3.00GHz
212,555,82,Core i7 11370H,Intel Core i7-11370H @ 3.30GHz
213,711,82,Core i3 10105F,Intel Core i3-10105F @ 3.70GHz
214,570,86,Ryzen 3 3100,AMD Ryzen 3 3100
